tag,phase,water,distance_m,turb,lam_nm,n_qubit,n_click,n_sift,n_err,p_click_meas,p_click_sim,p_click_ratio,z_click,qber_meas_pct,qber_lo_pct,qber_hi_pct,qber_sim_pct,qber_in_CI,skr_meas_pp,skr_sim_pp,cv_h_meas,cv_h_sim,sigma2_h_meas,sigma2_h_sim,irrad_sat,n_blocks,var_click,seconds,secure_meas
adaptive_B_turb_L3,adaptive,clear_ocean,25.0,3,450,10485760,15118,7476,287,0.0014417648315429687,0.001189251674930225,1.2123294521553303,3.86434514054476,3.838951310861423,3.4148155260379633,4.29954420396107,3.689666106451924,True,0.00035291364337883887,0.00032362164403930676,0.3895465095984699,0.6857226784985149,0.15174648314035083,0.47021559180717754,0.08241830930017198,160.0,469478.85017745465,3567.822393499955,True
adaptive_B_turb_L4,adaptive,clear_ocean,25.0,4,450,10485760,16363,8129,291,0.0015604972839355468,0.001189251674930225,1.312167404790162,3.1592586952907986,3.57977611022266,3.186472424363065,4.006791642662544,3.689666106451924,True,0.0004040304345773086,0.00032362164403930676,0.4213773408346207,1.244719460647849,0.1775588633688561,1.5493265357154722,0.3001894518120149,160.0,1518280.7959494411,3565.3601187000168,True
adaptive_B_turb_L5,adaptive,clear_ocean,25.0,5,450,10485760,17506,8773,332,0.0016695022583007812,0.001189251674930225,1.4038258625103328,2.394033937064813,3.7843383107260915,3.3947605677679564,4.204977953909523,3.689666106451924,True,0.0004207962289433002,0.00032362164403930676,0.38561472616468956,2.130644296701709,0.1486987170350685,4.53964511906752,0.5536387524277391,160.0,4424610.276159296,3590.260512800014,True
adaptive_D_coastal_d0_L5,adaptive,coastal,2.0,5,450,990044,9925,5000,136,0.010024806978275713,0.008527972063457012,1.1755206165874708,3.5255618403941575,2.7199999999999998,2.286898230050078,3.209412526045353,2.601714579393616,True,0.003021620032788669,0.0027800614532604642,0.26703741416322363,0.18882277531039646,0.07130898056298103,0.03565404047592047,0.0,15.10687255859375,176685.1820421687,388.72620199999983,True
adaptive_D_coastal_d2_L3,adaptive,coastal,6.0,3,450,3172913,7966,4000,169,0.0025106266701923436,0.001941251905035024,1.2933028751603708,11.670896275354924,4.2250000000000005,3.622768301069964,4.895192637351464,4.365109497883406,True,0.0005616568158701069,0.000468251520817758,0.17291255938175382,0.15072243024893323,0.02989875319194854,0.022717250980144543,0.0,48.41481018066406,23960.966940320915,1146.1008614000002,True
adaptive_D_coastal_d3_L3,adaptive,coastal,8.0,3,450,4276262,5978,3000,141,0.0013979498917512537,0.0009295490468193002,1.5039011621115763,16.663332844984062,4.7,3.9705216286279814,5.519362692244118,5.055315835707633,True,0.00027701728809883706,0.00019637457668842442,0.3574607547462758,0.2079761934860893,0.12777819118377715,0.04325409705696326,0.04700568752091,65.25057983398438,14449.080572059844,1513.4508743999995,True
adaptive_D_coastal_d4_L3,adaptive,coastal,10.0,3,450,6607272,3979,2000,118,0.0006022152561601823,0.00044854417328565876,1.342599663593572,10.631503352314642,5.8999999999999995,4.907630280393374,7.023955014453871,5.955080089678546,True,8.47829125956257e-05,7.819955907922394e-05,0.29494068519280364,0.2658509381375221,0.0869900077820005,0.07067672130860059,0.0,100.8189697265625,9120.934011257254,2248.4693658,True
adaptive_D_coastal_d5_L3,adaptive,coastal,13.0,3,450,6738926,1567,800,64,0.00023252963454413952,0.00015564409896517972,1.493982978411282,10.611929282271577,8.0,6.215226832444869,10.101233239925435,8.598639319760695,True,9.19202652504434e-06,1.1995631836504349e-05,0.29435986190428776,0.353241294294043,0.08664772830031135,0.12477941199453069,0.014677728142948309,102.82785034179688,2383.8667074107093,2292.36878,True
adaptive_D_coastal_d6_L3,adaptive,coastal,16.0,3,450,7467118,633,300,41,8.477166157009973e-05,5.971244791569408e-05,1.4196648191309438,6.672224705952832,13.666666666666666,9.989123371643185,18.080492488646563,14.730706867951449,True,0.0,0.0,0.4433353403006088,0.4418295665227347,0.1965462239594566,0.19521336585366766,0.15165876777251186,113.93917846679688,786.5015424328684,2531.316113499999,False
adaptive_D_coastal_d7_L3,adaptive,coastal,19.0,3,450,8396147,294,150,36,3.501606153393932e-05,2.8296688824980265e-05,1.2374614482464537,2.960155903723678,24.0,17.410454730033283,31.64547505468187,25.6515929695652,True,0.0,0.0,0.4743372590176437,0.5340350930699231,0.2249958352923712,0.28519348063020145,0.10204081632653061,128.1150360107422,363.23556116357577,2856.7016114,False
